{3e44c758-d368-4a16-b5f4-2932249ed339} bank:/Master
{a659e78c-a213-0654-33bd-a3ccd56dd5a1} bank:/Master.strings
{88fb2999-1f9f-4b93-854c-6e7bd971b3a2} bus:/
{3caa81a7-9ef3-480a-90d4-e3332533d46e} bus:/Reverb
{e8eb9703-88c8-4539-aa6f-3fd7d56522cb} bus:/SFX
{5228116e-890a-4495-96c5-593b742a5289} bus:/SFX/NPC
{240f57eb-2003-4dc0-8aee-a80d3c7d834b} bus:/SFX/PC
{45880392-66fa-4ef8-a607-a5b5b910d223} bus:/SFX/UI
{5bd10548-c364-4058-b2b7-f4e762051f91} bus:/Voices
{9a333a85-ee15-4e2a-82f7-0da693a48181} event:/NPC/BladeEnemy/Footsteps_A
{d3ad31ab-1263-420c-b2d9-6248dfc1ec2e} event:/NPC/BladeEnemy/Footsteps_B
{e2d0ddc4-c5e1-4ec8-b4ed-a0f02b467a80} event:/NPC/BladeEnemy/GettingHit
{1c719785-a7b7-4088-869a-687ee7a505cb} event:/NPC/ShieldEnemy/GettingHit
{1cab2fe0-7c90-47ab-afa8-a867496dacd0} event:/NPC/ShootingEnemy/GettingHit
{fcdb82c3-b6b4-4e09-abe0-683bafdb33e5} event:/PC/Attack/Gun
{82ff3903-562d-4fd5-976c-4bb088bc5160} event:/PC/Attack/Magicore
{d2f28077-282e-4dbb-8c36-e2620afe39ff} event:/PC/Attack/Slash
{97280397-c0cd-4606-ae06-160f092836d5} event:/PC/Footsteps
{73331deb-c063-4cda-bc6c-348c84ab6202} event:/PC/Jump/JumpOff
{02f54035-52bc-46d7-a01c-3e0c5111fe1d} event:/PC/Jump/Land
{6729257b-e590-43ee-878b-f882cfc1c383} event:/PC/Taking Damage
{00fa8cd9-8dab-44e2-be26-788c848ecfc9} event:/Placeholder/Atmo
{eb5dedab-b390-49b6-95b5-74376099402d} event:/Placeholder/Footsteps
{a695c357-c011-4cbc-9787-76a29aaa4b81} event:/Placeholder/Movement
{77e07fe9-18b9-4709-8f58-49742818512e} event:/Placeholder/SpeechTest
{a0056ac4-8cdb-43df-901c-a4cda01f5150} event:/UI/Inventory/Drop
{7acc84c8-cdb3-4619-9497-ebd316a9f1de} event:/UI/Inventory/Place
{7dc3f6a3-e876-4e3e-9d54-9782f5676be4} event:/UI/Inventory/PlaceFailed
{82943e6d-dbf9-4cef-9200-2627afd569e5} event:/UI/Inventory/Select
{abc190c3-1e4e-44ef-b30c-c0c514f90118} event:/UI/Inventory/Swap
{a3aa2198-8438-4671-af8c-a74597f68def} event:/UI/Inventory/Upgrade
{c4bb3872-b2af-468a-af6c-6daca2b04d06} event:/UI/Inventory/UpgradeFailed
{1a86ad00-ed1a-41bf-b400-b9377d115b11} event:/UI/Menu/Activate
{f5e712b0-4b5a-40dc-a63f-1fb74fbb3faa} event:/UI/Menu/Select
{7330fd9e-d789-4e0a-922d-2f97db985e5c} event:/Voices/Estella
{fe113db0-88ef-497f-941d-64af6a3c9c8e} event:/Voices/TimOffScreen
{a7d65551-d777-46eb-bebb-36984df5ea45} event:/Voices/TimOnScreen
{d38b5522-e54d-404a-aa05-06a785e21315} parameter:/Height
{7c1531ed-a5a9-4644-8679-274cc8b80dca} parameter:/Movement
